标题,日期,时间,板块1,标的组合1,板块2,标的组合2,板块3,标的组合3,板块4,标的组合4,板块5,标的组合5,板块6,标的组合6,板块7,标的组合7,板块8,标的组合8,板块9,标的组合9,板块10,标的组合10,板块11,标的组合11,板块12,标的组合12,板块13,标的组合13,板块14,标的组合14,板块15,标的组合15,简述,推荐理由,预期,原文
恺英网络推荐逻辑更新【中信传媒】,2025-07-08,23:02,游戏,恺英网络,AI,SOON、EVE,,,,,,,,,,,,,,,,,,,,,,,,,,,恺英网络因新老游戏及传奇盒子保障业绩稳健增长，AI布局持续推进，重点关注SOON及EVE产品。,传奇盒子吸引核心玩家，AI产品降低游戏开发门槛，公司估值具有吸引力。,预计恺英今年净利20.69亿元，当前股价对应25年PE为20X，推荐重点关注。,"恺英网络推荐逻辑更新【中信传媒】

# 新老游戏以及传奇盒子保障业绩稳健增长，传奇盒子有望进一步吸引传奇核心玩家，带动平台传奇产品广告投放。

# AI布局持续推进，重点关注SOON以及自然选择的3D AI 陪伴产品EVE。其中SOON为一款面向游戏行业的AI流程开发平台，可以实现角色、场景、动画、数值参数及代码系统的AI全自动生成，赋能游戏开发者大幅降低游戏开发时间，降低游戏开发门槛。

# 估值具有吸引力，我们预计恺英今年有望实现净利20.69亿元，当前股价对应25年PE为20X，当前恺英在游戏板块中估值具有一定吸引力，推荐继续重点关注。

详询：中信传媒 叶敏婷"
【国盛传媒】盛天网络近况更新：游戏产品储备丰富，带带AI虚拟人陪伴业务即将上线,2025-07-08,23:34,游戏,盛天网络,AI,盛天网络,VR,盛天网络,音乐,盛天网络,,,,,,,,,,,,,,,,,,,,,,,盛天网络游戏产品储备丰富，AI虚拟人陪伴业务即将上线，音乐业务推出新功能降低创作门槛。,公司游戏业务国内外市场表现良好，AI社交业务和音乐业务创新功能有望拓展变现模式。,预计游戏和AI业务将推动公司业绩增长，2025年新产品上线可能进一步提升市场热度。,"【国盛传媒】盛天网络近况更新：游戏产品储备丰富，带带AI虚拟人陪伴业务即将上线

[太阳]游戏业务:三季度预计推出一款捉宠融合类新游，该产品将先在国内上线并推出App与小程序版本。《<e type=""web"" href=""https%3A%2F%2Fwx.zsxq.com%2Fmweb%2Fviews%2Fweread%2Fsearch.html%3Fkeyword%3D%E7%9C%9F%C2%B7%E4%B8%89%E5%9B%BD%E6%97%A0%E5%8F%8C%E5%A4%A9%E4%B8%8B"" title=""%E7%9C%9F%C2%B7%E4%B8%89%E5%9B%BD%E6%97%A0%E5%8F%8C%E5%A4%A9%E4%B8%8B"" style=""book"" />》已获得进口版号，目前处于监修阶段，预计2025年内上线。《<e type=""web"" href=""https%3A%2F%2Fwx.zsxq.com%2Fmweb%2Fviews%2Fweread%2Fsearch.html%3Fkeyword%3D%E6%98%9F%E4%B9%8B%E7%BF%BC"" title=""%E6%98%9F%E4%B9%8B%E7%BF%BC"" style=""book"" />》在日本市场表现良好，现已进入韩国市场，近期将上线PS5平台，并在海外进行品牌联名活动。《<e type=""web"" href=""https%3A%2F%2Fwx.zsxq.com%2Fmweb%2Fviews%2Fweread%2Fsearch.html%3Fkeyword%3D%E6%B4%BB%E4%BE%A0%E4%BC%A0"" title=""%E6%B4%BB%E4%BE%A0%E4%BC%A0"" style=""book"" />》预计2025年推出DLC版本，延续海外市场热度。

[太阳]AI社交业务:6月公司发布“带带AI陪伴虚拟人”Demo，预计本周正式推出“带带AI陪伴虚拟人”功能。海外预计推出一款社交互动产品，产品将剧情互动与“带带”和“给麦”的玩法设计相结合。此外，公司于今年2月推出自研VRACE AI平台，整合了AI美术、AI语音及AI文本三大模块，应用于游戏开发、社交互动及虚拟陪伴场景。

[太阳]音乐业务:2025Q1，“给麦”推出“AI图生歌”、“AI音乐贺卡”及“AI占星”功能，降低音乐创作门槛。“给麦”已接入MiniMax、豆包AI、Kimi等大模型，未来可能结合IP联运和虚拟社交功能拓展变现模式。

风险提示:产品表现不及预期，行业竞争加剧，政策监管风险。"
【方正金属】金诚信预增公告：25H1实现归母预计10.7~11.2亿元，同增75%~83%,2025-07-08,23:30,金属,金诚信,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金诚信发布2025半年度业绩预增公告，预计归母净利润同比增长75%~83%，主要得益于矿山资源开发业务产销量增加及销售价格上涨。,矿山资源开发业务增长及销售价格上涨，加上有效的成本控制措施，推动了业绩的显著提升。,预计25H1归母净利润10.7~11.2亿元，同比增长75%~83%；25Q2归母净利润6.5~7亿元，同比+91~106%。,"【方正金属】金诚信预增公告：25H1实现归母预计10.7~11.2亿元，同增75%~83%

[庆祝]金诚信发布2025半年度业绩预增公告：

预计25H1实现归母10.7~11.2亿元，同比增长75%~83%；

预计实现扣非10.5~11亿元，同增72%~81%。

[庆祝]则单季度看，预计25Q2：

实现归母6.5~7亿元，同比+91~106%，环比+54~65%；

实现扣非6.3~6.8亿元，同比+85~100%，环比+54~66%。

[庆祝]业绩预增原因：

主要得益于矿山资源开发业务矿产品产销量增加、销售价格上涨以及公司持续采取降本控费措施，生产成本得到有效控制。

价格方面，25Q2沪铜均价约7.8万元/吨，同比-2%，环比+1%；25H1沪铜均价约7.8万元/吨，同比+4%。

数据来源：公司公告，Wind

☎欢迎联系方正金属甘嘉尧/苏湘涵17765190537"
【西部通信】华工科技&华测导航Q2点评,2025-07-08,23:34,通信,华工科技、华测导航,光模块,华工科技,地理空间信息,华测导航,机器人与自动驾驶,华测导航,北斗市场,华测导航,,,,,,,,,,,,,,,,,,,,,华工科技光模块业务利润释放，业绩略超预期；华测导航海外业务增速维持，业绩符合预期。,华工科技受益于高速光模块需求增长及海外订单预期；华测导航得益于地理空间信息、机器人与自动驾驶业务及海外市场增长。,华工科技全年利润预期19亿，光模块利润占比提升至35%；华测导航全年利润预期7.7亿元，北斗市场增长稳健。,"【西部通信】华工科技&华测导航Q2点评

# 华工科技：光模块业务利润释放，业绩略超预期
[太阳]公司发布25H1预告，25年上半年预计实现归母净利润8.9-9.5亿元，同比增长42.4%-52%。25Q2单季度预计归母净利润4.8-5.4亿元，同比增长43.3%-61.2%。Q2利润略超市场预期。

[太阳]拆分来看，公司联接业务受益国内互联网及设备厂商400G、800G高速光模块需求释放，收入及利润同比取得大幅增长。下半年海外客户订单有望取得突破；3D打印业务后续利润释放也将提升公司估值。

[红包]维持公司全年19亿利润预期，光模块利润占比将提升至35%。

# 华测导航：海外业务增速维持，业绩符合预期
[太阳]公司发布25H1预告，25年上半年预计实现归母净利润3.2-3.4亿元，同比增长27.4%-33.3%。25Q2单季度预计归母净利润1.8-1.9亿元，同比增长21.6%-30.4%。Q2业绩符合预期。

[太阳]公司增长主要来自地理空间信息、机器人与自动驾驶等业务快速发展，同时海外市场业绩高速增长维持。上半年公司股权激励费用为2200万元，扣非后归母净利润中位数为3亿元，同比增长42.4%。

[红包]维持公司全年7.7亿元利润预期，北斗市场增长稳健。

☎【西部通信 陈彤/ 曾庆亮 /张璟】"
【招商电子】正帆科技并购事件点评：拟收购汉京半导体股权拓展石英和SiC陶瓷件，进一步协同半导体零部件和Opex业务成长,2025-07-08,23:24,半导体,正帆科技、汉京半导体、TEL、KE、TSMC、北方华创、拓荆科技、中微公司、新凯来、微导,,,,,,,,,,,,,,,,,,,,,,,,,,,,,正帆科技拟收购汉京半导体股权，拓展石英和SiC陶瓷件业务，进一步协同半导体零部件和Opex业务成长。,汉京半导体为国内首家碳化硅耗材生产商、石英制品龙头，产品已供应国际设备龙头厂商并导入国内厂商，正帆科技通过此次收购将进一步完善其半导体零部件+OPEX业务版图。,汉京半导体承诺未来3年内共实现净利润3.93亿元，平均每年1.31亿元，对应PE为13.7倍，预计将增厚正帆科技利润和现金流水平。,"【招商电子】正帆科技并购事件点评：拟收购汉京半导体股权拓展石英和SiC陶瓷件，进一步协同半导体零部件和Opex业务成长

[太阳]公司公告称，拟按照公司100%股权价值为18亿元购买辽宁汉京半导体材料公司62.23%股权，对应24年PE为21.4倍。标的公司承诺未来3年内共实现净利润3.93亿元，按照每年平均1.31亿元，对应PE为13.7倍。

[太阳]汉京半导体成立于2022年，系原沈阳汉科半导体材料公司全体核心团队成立的专注于高纯石英材料和碳化硅陶瓷材料的主体，主营石英管、石英舟、石英环、碳化硅陶瓷舟、碳化硅陶瓷管、碳化硅陶瓷保温筒等。公司为国内首家碳化硅耗材生产商、石英制品龙头，产品已经稳定供应TEL、KE等国际设备龙头厂商，并导入TSMC、北方华创、拓荆科技、中微公司等国内厂商。公司拥有国内第一条极高纯石英生产线，产品等级对应10nm及以下制程，同时正在建设国内第一条半导体碳化硅零部件生产线。公司23/24年/25Q1分别实现收入5.09/4.61/0.88亿元，实现净利润1.18/0.94/0.23亿元。

[太阳]正帆科技半导体零部件+OPEX业务双轮驱动，Gas Box业务面向国内60-70亿元市场空间，公司打破海外垄断，批量供货新凯来/北方/拓荆/中微/微导等，近年来收入增长迅速；OPEX业务中大宗和特气均快速放量，前驱体材料导入验证顺利，近期可转债发行预计OPEX产能进一步扩充；公司拟收购汉京半导体，进军市场空间更大的石英材料+SiC陶瓷材料市场，半导体零部件+OPEX业务版图将进一步完善，同时考虑标的公司稳定盈利，结合业绩承诺预计未来也将进一步增厚母公司利润和现金流水平。

联系人：鄢凡/谌薇15814056991/王虹宇15255602746"
【天然色素替代空间大，积极关注植提龙头晨光生物】,2025-07-08,23:01,植物提取,晨光生物,,,,,,,,,,,,,,,,,,,,,,,,,,,,,晨光生物作为全球红黄两色天然色素龙头，受益于天然色素替代人工合成色素的行业浪潮，业绩强势回暖。,FDA禁令推动天然色素替代，公司产品价格处于周期底部，未来价格回升有望释放显著利润弹性。,天然色素行业高速增长，晨光生物有望凭借极高的全球市场占有率，业绩持续改善。,"【天然色素替代空间大，积极关注植提龙头晨光生物】

1. 周期底部，孕育价格上行预期
公司多个主要产品价格处于周期底部，#未来价格回升有望释放显著利润弹性。同时，上游部分色素、辣椒精原材料因种植面积波动导致供给不确定性，进一步支撑产品价格上行预期。

2. FDA禁令发酵，天然色素替代的多米诺骨牌效应初现
自近期美国FDA颁布人工合成色素相关禁令后，以好时、雀巢等为代表的多家全球食品饮料巨头迅速响应，宣布停用人工合成色素相关计划，推动天然色素替代人工合成色素的行业浪潮，并加速从法规禁令落地到产业实践，从美国延伸至全球范围。#天然色素替代合成色素的“多米若骨牌效应“初现，行业酝酿巨大的替代空间。

3. 业绩强势回暖，Q2持续稳健
公司25Q1业绩同比大幅增长，之前拖累业绩的棉籽加工业务今年也呈现向好趋势；#25Q2经营持续稳定，整体业绩边际改善明显。

公司作为全球红黄两色天然色素龙头，有望凭借极高的全球市场占有率，充分受益于天然色素行业高速增长。

建议积极关注植物提取龙头晨光生物（300138）。
---------
欢迎交流"
焦点科技激励落地，业绩稳健+AI应用商业化领先+跨境支付业务有预期差，建议关注,2025-07-08,23:01,科技,焦点科技,,,,,,,,,,,,,,,,,,,,,,,,,,,,,焦点科技激励计划落地，业绩稳健增长，AI应用商业化领先，跨境支付业务有预期差。,公司业绩稳健，AI应用商业化领先，跨境支付业务有预期差，激励计划有望推动公司长期发展。,全年利润有望实现较好增长，AI产品预计Q3落地，支付/交易业务未来可能达到十亿、百亿美元量级流水。,"焦点科技激励落地，业绩稳健+AI应用商业化领先+跨境支付业务有预期差，建议关注

公司公告向2025年股票期权激励计划激励对象首次授予股票期权，数量1,228.15万份，占股本3.88%，行权价格：29.04元/份。摊销成本预计25-28年分别为0.60/1.14/0.56/0.20亿元。

1、业绩：中国制造网上半年现金回款增速有望超过全年20%增速目标，ARPU较去年6.6万有增长；Q2利润稳健增长，考虑股权激励情况下，全年利润仍有望实现较好增长。

2、AI：供应商端AI麦可继续迭代功能；买家端sourcing AI预计Q3落地，内部成立的AI中心也在推进买家端AI产品，以提升进入中国制造网流量的转化效率。

3、新品类：今年推进十大轻工专项，过去销售更愿意发展重工客户，而轻工的规模比重工要大很多，买家复购、交叉采购也更多。

4、支付/交易：面向原有重工品类客户提供支付工具，香港有MSO牌照，境内也有合作的金融机构完成结售汇，赚取费率；面向新开拓的轻工品类客户提供交易服务，建设履约担保、加强风控之后会放量，未来可能达到十亿、百亿美元量级流水，并且可以进行抽佣，而不只是收费率。"
【中信证券金属】云铝股份二季度盈利如期高增,2025-07-08,22:02,金属,云铝股份,,,,,,,,,,,,,,,,,,,,,,,,,,,,,云铝股份二季度盈利高增，产销提升和吨铝利润拉阔为主要驱动因素。,铝价强势运行和氧化铝价格显著下降，推动公司业绩增长。,公司二季度归母净利润同比增长27.7%-35.0%，环比增长77.5%-87.8%。,"【中信证券金属】云铝股份二季度盈利如期高增

[庆祝] 二季度业绩如期高增。公司公告25H1实现归母净利润27.0-28.0亿元，同比增长7.2-11.2%，对应25Q2归母净利润17.3-18.3亿元，同比增长27.7%-35.0%，环比增长77.5%-87.8%。我们此前预测公司二季度实现净利润17.1亿元，公司二季度业绩如期实现高增。

[礼物] 产销提升叠加吨铝利润拉阔应为公司业绩主要驱动因素。（1）产销：预估公司25Q2产销环比基本持平（Q1为76.3万吨），同比提升6.8%。（2）价格：25Q2铝价为20195元，同比/环比-1.7%/-1.2%。（3）成本：25Q2氧化铝价格为3059元/吨，同比/环比-16.4%/-20.9%，考虑库存情况，预估公司氧化铝加权成本或为3075元/吨。（3）利润：铝价强势运行，氧化铝价格显著下降，预估公司25Q2电解铝单位毛利约4100元/吨，同比/环比+6.2%/+55.8%。产销以及盈利提升预估增厚公司毛利1.8/1.6亿元，推动公司业绩增长。"
[礼物]【阳光诺和】CRO小巨人转型创新药平台型企业，Q2业绩有望超预期；创新药多管线进入收获期，看翻倍市值空间,2025-07-08,23:00,医药,阳光诺和、辉瑞、科兴、昂利康,,,,,,,,,,,,,,,,,,,,,,,,,,,,,阳光诺和作为CRO小巨人转型创新药平台型企业，Q2业绩有望超预期，创新药多管线进入收获期，市值空间看翻倍。,公司主业CRO订单高增，创新药多管线布局进入收获期，STC007和STC008等药物进展顺利，市场前景广阔。,阳光诺和市值目标125亿，目前54亿，翻倍以上空间；STC007峰值销售30-40亿，STC008峰值销售20亿+。,"[礼物]【阳光诺和】CRO小巨人转型创新药平台型企业，Q2业绩有望超预期；创新药多管线进入收获期，看翻倍市值空间

[玫瑰]近期公司因公告STC007镇痛适应症BD股价波动，潜伏资金出清后，重视公司主业CRO中报超预期机会，以及创新药多管线BD前景

1、公司主业CRO，今年创新药火热，叠加III类药品订单反转，公司大临床订单高增。#STC007的1亿首付款将计入中报，公司Q2业绩有望超市场预期。展望下半年，大临床订单兑现，业绩反转确定性高

2、创新药多管线布局今年进入收获期，创新药看80亿市值弹性

1）STC008： Q3完成一期临床，#目前已接洽BD合作方，预计一期临床结束同时完成BD。肿瘤恶病质发病率高，全球格局非常好。竞对包括辉瑞（二期）、科兴（一期）。公司优势明显，STC008靶点在海外有药物已经被验证有效，但该海外药物影响肝脏代谢，存在安全隐患。STC008可避免该隐患

2）STC007：二期临床完成，三期临床下半年完成，镇痛适应症已公告BD，峰值销售30-40亿

3）其他早期管线：两款CAR-T红斑狼疮、与昂利康合作创新改良药（高血压）等

3、业绩与估值：主业25年2.3亿利润，给20x，45亿市值；创新药STC007 20亿峰值收入，2xPS 60亿市值；STC008 早期阶段BD有进展，峰值销售20亿+，给1x PS，20亿市值，看125亿市值目标，目前54亿市值，翻倍以上空间"
【浙商通信张建民】华测导航：业绩稳健增长，25H1归母中值+30%,2025-07-08,22:16,地理空间信息,华测导航,机器人与自动驾驶,华测导航,,,,,,,,,,,,,,,,,,,,,,,,,,,华测导航25H1业绩稳健增长，归母净利润中值同比增长30%，地理空间信息和机器人与自动驾驶业务快速发展。,公司全球化战略和打爆品策略有效，海外市场拓展迅速，未来增长空间大。,25H1归母净利润预计3.20亿元-3.35亿元，YOY+27.4%~33.3%，中值为3.28亿元，YOY+30.4%。,"【浙商通信张建民】华测导航：业绩稳健增长，25H1归母中值+30%

公司发布业绩预告，25H1公司归母净利润3.20亿元-3.35亿元，YOY+27.4%~33.3%，中值为3.28亿元，YOY+30.4%；扣非归母净利润2.93亿元-3.08亿元，YOY+38.9%~46%。其中25Q2 归母净利润1.77亿元-1.92亿元，YOY+19.6%~29.7%。

公司坚持全球化、打爆品的发展战略，积极拓展产品和解决方案的行业应用，#地理空间信息、机器人与自动驾驶等相关业务领域快速发展。公司集中资源大力拓展海外市场，海外区域营业收入持续快速增长，未来海外市场仍有较大增长空间。

25H1，股权激励计划带来股份支付费用约为2200万元，预计非经常性损益对当期净利润的影响约为2700万元。

风险提示：产业发展不及预期"
【天风医药杨松团队】舒泰神重点推荐：ARDS新药Ib/II期临床研究总结发布，显示了初步有效性和良好的安全性,2025-07-08,23:00,医药,舒泰神,,,,,,,,,,,,,,,,,,,,,,,,,,,,,舒泰神发布STSA-1002注射液Ib/II期临床研究总结，显示初步有效性和良好安全性，支持进一步临床研究。,STSA-1002显示出较好的安全性和有效性，通过抑制C5a减轻ARDS炎症反应，免疫原性低。,STSA-1002的进一步临床研究进展可能推动舒泰神股价上涨，医药板块关注度提升。,"【天风医药杨松团队】舒泰神重点推荐：ARDS新药Ib/II期临床研究总结发布，显示了初步有效性和良好的安全性

[太阳]事件：7月8日，公司发布关于STSA-1002注射液（急性呼吸窘迫综合征适应症）获得Ib/II期临床研究总结报告的公告，显示了初步有效性和良好的安全性，支持继续开展进一步临床研究。

[太阳]点评：
[玫瑰]STSA-1002 Ib/II期数据显示，严重不良反应未呈现剂量相关性，显示出较好的安全性。
🌟安全性指标显示，34.04%受试者在给药后报告了严重不良事件，其中低剂量组为 40.00%、高剂量组为 11.76%、对照组为53.33%。由于ARDS患者纳入标准为出现呼吸道病毒感染等症状，因此基线特征可能以中重度居多。高剂量组严重不良反应发生率相比安慰剂组显著降低，显示出对于严重不良反应有一定效果。

[玫瑰]STSA-1002通过抑制 C5a 可有效减轻 ARDS 的炎症反应
🌟有效性指标显示，受试者接受 STSA-1002 注射液给药后，各剂量组的平均血药浓度随剂量增加而升高，给药后所有治疗组均观察到游离 C5a 均较基线明显降低，在 ARDS 患者中免疫原性较低。

[咖啡]天风医药 杨松/张雪/曹文清"
