标题,日期,板块,标的1,价格1,标的2,价格2,标的3,价格3,简述,推荐理由,预期,原文
[太阳]【兴证通信】美股 IDC 持续大涨点评 0704,09:09,IDC数据中心,万国数据,HK$32.25,世纪互联,HK$0.27,大位科技,¥8.10,万国数据和世纪互联因IDC公募REITS市场反响热烈及长远发展计划大涨，国内IDC公司如大位科技等因算力预期低、股价位置低、机构持仓少，具备显著配置价值。,万国数据中心REIT认购倍数高达166倍，隐含EV/EBITDA为16.9倍，大超市场预期；世纪互联宣布未来10年建设10GW数据中心集群，上调2025年收入及EBITDA指引；国内IDC公司因算力预期低、股价位置低、机构持仓少，美股对标公司大幅反弹。,万国数据和世纪互联因市场对IDC公募REITS的强烈反响及公司长远发展计划，股价持续大涨；国内IDC公司如大位科技等因配置价值显著，预计将吸引更多投资。,"[太阳]【兴证通信】美股 IDC 持续大涨点评 0704

[红包]昨晚万国数据+10.20%，世纪互联+9.46%，延续近日持续大涨趋势，股价从底部涨幅万国近翻倍，世纪互联近 70%。主要原因在于：

[玫瑰]#近日万国数据中心REIT（基金代码：508060）已完成网下询价，#认购倍数高达166倍，作为行业历史首批IDC公募REITS，市场反响热烈。按最终发售价计算，#隐含EV/EBITDA为16.9倍，大超市场预期（13-14倍），#每份额隐含股息收益率为5.2%。润泽科技发行的REITS 15.5倍左右。目前IDC上市公司对应2026年EV/EBITDA 普遍低于15倍，低于一级市场成熟IDC估值<e type=""hashtag"" hid=""48812121848888"" title=""%23%E4%BC%B0%E5%80%BC%E4%B8%8E%E4%B8%9A%E7%BB%A9%E4%BB%8D%E6%9C%89%E8%BE%83%E5%A4%A7%E4%B8%8A%E4%BF%AE%E7%A9%BA%E9%97%B4%E3%80%82%23"" />

[玫瑰]世纪互联宣布将在未来10年建设总规模10GW的超大规模数据中心集群，彰显长远发展信心。公司宣布授权回购金额最高达5000万美元的股份，#且上调2025年收入及EBITDA指引，主要受益于批发型客户超预期的上架速度。

[玫瑰]产业验证下来，#主要互联网大厂对nv特供版芯片购买意愿均强，最快于三季度左右下大批量订单。国产芯片产能或环比抬升，伴随缺芯缓解，IDC招标需求将加快释放，国内互联网大厂资本开支有望实质性反转。

[太阳]国内算力预期低、股价位置低、机构持仓少，美股对标公司大幅反弹，已具备显著配置价值。继续重点推荐#大位科技、奥飞数据、光环新网、润泽科技、科华数据、科泰电源、泰豪科技、潍柴重机等。"
"巨人网络：《<e type=""web"" href=""https%3A%2F%2Fwx.zsxq.com%2Fmweb%2Fviews%2Fweread%2Fsearch.html%3Fkeyword%3D%E8%B6%85%E8%87%AA%E7%84%B6%E8%A1%8C%E5%8A%A8%E7%BB%84"" title=""%E8%B6%85%E8%87%AA%E7%84%B6%E8%A1%8C%E5%8A%A8%E7%BB%84"" style=""book"" />》免费榜创新高，持续关注暑期表现【东吴传媒互联网 张良卫团队】",08:49,游戏,巨人网络,¥25.14,,,,,巨人网络《》iOS游戏免费榜排名创新高，暑期内容更新有望进一步提升用户规模和流水。,公司产品周期强劲，《》用户规模和流水高速增长，利润率较高，暑期档期表现值得关注；积极拓宽产品矩阵，细分赛道精品新游陆续落地，有望驱动业绩强劲增长。,看好《》暑期档期表现，游戏用户规模及流水有望持续超预期，为公司带来显著业绩增量；维持“买入”评级。,"巨人网络：《<e type=""web"" href=""https%3A%2F%2Fwx.zsxq.com%2Fmweb%2Fviews%2Fweread%2Fsearch.html%3Fkeyword%3D%E8%B6%85%E8%87%AA%E7%84%B6%E8%A1%8C%E5%8A%A8%E7%BB%84"" title=""%E8%B6%85%E8%87%AA%E7%84%B6%E8%A1%8C%E5%8A%A8%E7%BB%84"" style=""book"" />》免费榜创新高，持续关注暑期表现【东吴传媒互联网 张良卫团队】

7月3日，《<e type=""web"" href=""https%3A%2F%2Fwx.zsxq.com%2Fmweb%2Fviews%2Fweread%2Fsearch.html%3Fkeyword%3D%E8%B6%85%E8%87%AA%E7%84%B6%E8%A1%8C%E5%8A%A8%E7%BB%84"" title=""%E8%B6%85%E8%87%AA%E7%84%B6%E8%A1%8C%E5%8A%A8%E7%BB%84"" style=""book"" />》iOS游戏免费榜排名升至第4名，创下新高。此外，项目组于6月29日首曝新地图，包含新场景、新机制、新怪物、新大金，期待暑期内容持续更新，带动用户规模和流水体量进一步提升。

我们自年初起持续强调推荐公司产品周期强于市场预期，并在6月初重点提示《<e type=""web"" href=""https%3A%2F%2Fwx.zsxq.com%2Fmweb%2Fviews%2Fweread%2Fsearch.html%3Fkeyword%3D%E8%B6%85%E8%87%AA%E7%84%B6%E8%A1%8C%E5%8A%A8%E7%BB%84"" title=""%E8%B6%85%E8%87%AA%E7%84%B6%E8%A1%8C%E5%8A%A8%E7%BB%84"" style=""book"" />》边际变化，当前重申看好观点：

公司产品周期强劲：1）《<e type=""web"" href=""https%3A%2F%2Fwx.zsxq.com%2Fmweb%2Fviews%2Fweread%2Fsearch.html%3Fkeyword%3D%E8%B6%85%E8%87%AA%E7%84%B6%E8%A1%8C%E5%8A%A8%E7%BB%84"" title=""%E8%B6%85%E8%87%AA%E7%84%B6%E8%A1%8C%E5%8A%A8%E7%BB%84"" style=""book"" />》用户规模和流水高速增长，且产品利润率高，此外作为社交休闲产品，暑期档期表现值得关注，游戏用户规模及流水有望持续超预期，为公司带来显著业绩增量。2）积极关注《<e type=""web"" href=""https%3A%2F%2Fwx.zsxq.com%2Fmweb%2Fviews%2Fweread%2Fsearch.html%3Fkeyword%3D%E4%BB%A3%E5%8F%B7%E6%9D%80"" title=""%E4%BB%A3%E5%8F%B7%E6%9D%80"" style=""book"" />》版号进展，以及《<e type=""web"" href=""https%3A%2F%2Fwx.zsxq.com%2Fmweb%2Fviews%2Fweread%2Fsearch.html%3Fkeyword%3D%E5%8F%A3%E8%A2%8B%E6%96%97%E8%9B%90%E8%9B%90"" title=""%E5%8F%A3%E8%A2%8B%E6%96%97%E8%9B%90%E8%9B%90"" style=""book"" />》《<e type=""web"" href=""https%3A%2F%2Fwx.zsxq.com%2Fmweb%2Fviews%2Fweread%2Fsearch.html%3Fkeyword%3D%E4%BA%94%E5%8D%83%E5%B9%B4"" title=""%E4%BA%94%E5%8D%83%E5%B9%B4"" style=""book"" />》上线进展。我们看好公司积极拓宽产品矩阵，细分赛道精品新游陆续落地，有望驱动业绩强劲增长，同时看好大DAU、长生命周期产品兑现提升公司业绩稳定性，进而提升公司估值，维持“买入”评级。

风险提示：新游表现不及预期，行业监管风险。
联系人：张良卫/陈欣"
【国盛新消费】充电宝行业更新（20250703）,08:48,充电宝,罗马仕,,,,,,罗马仕因充电宝召回事件经营陷入困境，行业因3C认证监管趋严面临洗牌。,充电宝行业因3C认证流程变更，要求企业自有工厂和流水线，增加了行业门槛，有利于龙头企业份额提升。罗马仕的困境为其他认证企业提供了抢占市场份额的机会。,行业预计将因3C认证新规加速洗牌，龙头企业有望在罗马仕空缺的市场中快速扩张份额。,"【国盛新消费】充电宝行业更新（20250703）

事件：受充电宝召回事件影响，罗马仕经营陷入困境。7月3日，多名罗马仕员工向界面新闻记者证实，自7月1号开始罗马仕内部已经陆续通知员工全面停工停产，员工工资只发到6月份。

如何理解民航强制要求3C标识上机的影响？
1）量增：不赘述了参考前面的段子，# 就相当于是充电宝行业发生了个以旧换新（只是钱需要消费者自己补贴），当然除了这个短期的因素之外充电宝行业本身有产品结构升级的价增逻辑。

2）格局：龙头份额提升的抓手在供应链，# 这都从3C认证流程说起
👉首先电芯得通过3C认证，目前电芯成本占充电宝整机的50%，白牌也采购符合认证要求的电芯就没有太大的降本空间。
👉拿到3C认证最关键的点在于# 要有自己的生产工厂，有流水线。整机3C认证监管趋严，2025年5月6日开始认证模式从# “先发证后审厂”改为“先审厂后发证”，从“企业送样”变为“生产现场抽样”。之前白牌花几千块挂靠工厂的拿证的方式会越来越走不通。
👉从提交资料到下证差不多在三四个月左右，慢则需要1年时间，费用3万元，证书有效期五年。# 当下罗马仕的空缺+行业换新增量需要快速以现有认证产品在渠道发力抢占份额。

徐程颖/陈思琪/鲍秋宇/盘姝玥"
[玫瑰]【国泰海通医药】PD(L)1*VEGF赛道产业级机会，关注国产公司出海机遇,08:48,医药生物,康方生物,HK$115.40,三生制药,HK$25.30,华海药业,¥22.99,康方生物等公司在PD(L)1*VEGF赛道的产业级机会中表现突出，特别是在国产公司出海机遇方面。,文章指出PD(L)1*VEGF赛道在海外市场仍是蓝海，康方生物等公司在该领域的布局和临床进度领先，有望成为肿瘤治疗下一个十年的有力竞争者。,预计2030年PD(L)1*VEGF整体市场或可达1000亿，康方生物等公司有望在这一快速增长的市场中占据重要位置。,"[玫瑰]【国泰海通医药】PD(L)1*VEGF赛道产业级机会，关注国产公司出海机遇

[玫瑰]晚间彭博社报道称阿斯利康（AZN）正在与SMMT进行接触，商讨潜在150亿美金级别交易的可能性。我们认为在所有MNC中，AZN确有可能布局PD1*VEGF：1）公司整体肿瘤方向布局强，但缺少一个优质IO资产。公司在ADC、TCE、CGT、小分子等肿瘤药物上布局完善，并深耕肺癌、乳腺癌、胃癌等适应症，配合旗下PDL1单抗英非凡进行布局。IO升级方向上，公司仅有PD1*TIGIT双抗针对PDL1>1或高表达适应症，以及PD1*CTLA4双抗，布局一款PD(L)1*VEGF一方面能发挥自身在PD(L)1上积累的优势，另一方面有望成为肿瘤下一个十年的有力竞争者；2）公司现金流稳健，2025年公司预计能产生140亿经营性现金流，一半可用于BD及收并购，目前公司现金约55亿，负债225亿，杠杆率在MNC中属于稳健，有能力进行150亿交易。#潜在的交易反映了MNC顶级肿瘤玩家对于AK112以及PD(L)1*VEGF赛道的认可。

[玫瑰]我们预计将会有更多MNC布局PD(L)1*VEGF赛道，核心原因在于海外市场仍是蓝海，除SMMT、BNTX&BMS外其他MNC实际都处于同一起跑线。PD(L)1已获批42个适应症，强势领域包括肺癌、胃癌、肾癌、膀胱/尿路癌、肝癌、头颈癌等等，整体市场2030年或可达1000亿。而康方生物、普米斯生物在国内还启动了CRC、PDAC、OC、BTC等探索，未来PD(L)1*VEGF可覆盖更多适应症。但在全球市场上，目前康方&SMMT、BNTX&BMS合计仅开设NSCLC、TNBC、SCLC三个适应症的III期临床，其余所有适应症甚至无II期临床开设。在中国完成I期临床的PD(L)1*VEGF资产仅需要进行桥接实验便可在美国推进后续II期，因此对于现在进行BD的所有MNC来说，实际上除康方&SMMT、BNTX&BMS外所有人处在同一起跑线。

[玫瑰]我们认为除了MSD、BMS、PFE、AZN以外，ROG、ABBV、NVS、GILD、LLY等公司也有可能布局PD(L)1*VEGF赛道。其中ABBV和LLY在公开大会交流中表达过对PD(L)1*VEGF的兴趣和关注；而ROG、NVS和GILD深耕肿瘤领域，曾经布局过或拥有PD(L)1单抗，且均拥有ADC、RDC或其他类型肿瘤资产，和PD(L)1*VEGF能产生和好的协同效应。考虑到当年PD(L)1单抗早期有11家MNC参与竞争，我们认为短期会有多家MNC参与赛道。

[玫瑰]推荐康方生物、三生制药、华海药业、神州细胞、君实生物、荣昌生物、宜明昂科。未实现对外授权的公司重点关注临床进度、有效性（特别是一线联用的有效性）、安全性、专利等方面。

联系人：余文心/廖博闻"
重要❗️【天风电新&汽车】豪能股份更新&推荐：摆线性能&行星减速器订单超预期-0703,08:47,"汽车零部件,机器人",豪能股份,¥14.54,,,,,豪能股份同步器、差速器及同轴减速器业务稳健增长，机器人行星减速器和摆线减速器订单超预期，产能规划上调，产品技术领先。,公司同步器和差速器业务稳定增长，同轴减速器技术优势明显，有望进入小米供应链。机器人减速器产品技术领先，订单超预期，产能规划上调，市场前景广阔。,预计25年实现4.4亿利润，机器人收入26年上亿，产品线及客户优势明显，市场空间大。,"重要❗️【天风电新&汽车】豪能股份更新&推荐：摆线性能&行星减速器订单超预期-0703
———————————
🌟主业
1、同步器：年收入12亿+，毛利率30%+，未来保持稳定。

2、差速器：目前产能500万套，2030年目标扩到1000万套。23年/24年收入4/6亿+，未来几年保持高速增长。

3、同轴减速器：较平行轴核心优势为更高密度，更高扭矩，更高传动效率。同轴减速器本身因结构更复杂价格贵于平行轴，但可降低电机成本，故从三合一看贵的不多。公司未来目标收入25亿（基于全市场75亿空间，1/3份额目标）【超预期，有机会通过汇川等进小米等供应链】。

4、航空零部件：收入保持增长（过去几年复合在20-30%），毛利率稳定。

🌟机器人
1、行星减速器：有十几款产品，考虑到现有订单情况，#【超预期，上调产能规划，从今年20万套，明年50万套提升至今/明年50W/100W套。】目前月新增订单超1.5万套，明年出货预期30-60万套，涵盖各类型客户，毛利率预计在30%+。

2、摆线减速器：兼顾精度和抗冲击，公司#产品较传统摆线减重30%，传递效率提升10-20%，核心在于采用独特结构设计（避开磨齿）+特殊化材料配方（做飞机业务经验复用），目前产品包括T60（直径60mm，重量660g ,可用于肩），T80 （80mm 重量800g），T90。目前总规划产能10万套，Q3有望投产3-5万套，下游客户有Tier 1、人形本体、协作、特种机器人等。10万套量产规模下价格有望和国产中高端谐波打平。

3、锻造行星齿轮：用于灵巧手，兼具高效率、低噪音，长寿命优势，#寿命达1.3万H，较普通提升50%，已有明确本体客户且已对接Tier 1。

#投资建议：公司产品线主打行星+摆线、我们预计公司有望25年实现千万级别，26年上亿机器人收入，产品&客户线卡位优势强，我们预计25年实现4.4亿利润，继续保持重点推荐。
———————————
欢迎交流：孙潇雅/张童童"
【华西医药】迪哲医药舒沃替尼获FDA加速批准上市，系全球首款在美获批的EGFR exon20ins非小细胞肺癌国创新药,08:47,医药,迪哲医药,¥65.80,,,,,迪哲医药舒沃替尼获FDA加速批准上市，成为全球首款在美获批的EGFR exon20ins非小细胞肺癌国创新药，填补了该领域近20年临床空白。,舒沃替尼基于优异的疗效和安全性，成为当前EGFR exon20ins NSCLC治疗领域全球唯一全线拥有中、美“突破性疗法认定”的药物，并在美国递交NDA后被FDA授予优先审评。,预计25年销售7-8亿，舒沃替尼、戈利昔替尼25年进医保开始放量，销售呈现季度环比增加的趋势。,"【华西医药】迪哲医药舒沃替尼获FDA加速批准上市，系全球首款在美获批的EGFR exon20ins非小细胞肺癌国创新药

事件：
舒沃替尼通过优先审评程序，成为全球首个且唯一在美国获批的EGFR 20号外显子插入突变 NSCLC国创新药，同时也是中国首个独立研发在美获批的全球首创新药。

舒沃替尼：
此次获批的舒沃替尼是一款口服、不可逆且针对多种EGFR突变亚型的高选择性EGFR TKI，于2023年8月通过优先审评在中国获批上市，填补了该领域近20年临床空白，并在获批后的首个医保年度即纳入国家医保目录，成为目前唯一获批且可医保报销的EGFR exon20ins NSCLC二/后线标准治疗方案，基于优异的疗效和安全性，舒沃替尼是当前EGFR exon20ins NSCLC治疗领域全球唯一全线拥有中、美“突破性疗法认定”的药物，并在美国递交NDA后被FDA授予优先审评。
此次加速批准基于国际多中心注册临床研究（悟空 1B，WU-KONG1B），研究结果展现舒沃替尼针对经治EGFR exon20ins NSCLC全球同类最佳（Best-in-Class）潜力。

销售预期：
随着舒沃替尼、戈利昔替尼25年进医保开始放量，我们预计25年销售呈现季度环比增加的趋势，预计25年销售7-8亿。

管线进展：
1、8586 国内，预计25H2国内启动三期；
2、6008 国内，预计25年底国内开展关键临床；
3、戈利昔替尼美国，预计25年底海外NDA。

BD：
1、舒沃替尼，目前积极推进中，我们认为，获批后仍有BD预期，公司有可能自行销售或寻找CSO合作，助力舒沃替尼快速放量。
2、其他分子如6008，随着临床数据披露，我们认为也存在BD可能性。

风险提示：医药行业政策不及预期风险、市场竞争加剧风险、产品销售和推广不及预期、创新药研发进展不及预期等。
联系人：华西医药 崔文亮/查星辰/孙子豪/刘祎"
【华泰电子】持续推荐•海外AI算力产业链,08:47,AI算力,英伟达,HK$15.61,鸿海,¥27.29,Marvell,,英伟达股价新高，鸿海订单能见度至2027年，AI算力需求共振向上，PCB+光模块+光互连领域推荐标的包括Marvell和博通。,Token量爆发，新叙事逻辑开启，AI应用跑通，Agent对Token量的拉动显著，海外算力链估值从周期股演变为稳健成长股。,下半年推理和训练需求共振向上，指引上修大概率，25Q1 Token量加速，AI算力链估值体系改变，首选龙头。,"【华泰电子】持续推荐•海外AI算力产业链

# 英伟达•股价新高
1、Token量爆发
2、新“叙事逻辑”有望开启

# 鸿海•法说会
1、“订单能见度看到2027年”
2、“订单不是问题，产能才是问题”
———————————————
我们认为，这次是一次大的需求向上趋势。下半年：推理需求+训练需求，共振向上。

指引上修，在下半年也是大概率事件

但更重要的是，这次改变的不只是【需求预期】，更重要的是【估值体系】：海外算力链的估值：从周期股，逐步演变为稳健成长股估值。

海外AI应用已跑通，25Q1 Token量加速，只是开始，Agent对Token量的拉大非常明显（Token量，Agent比Chatbot大【两个】数量级）

海外算力【NV链+ASIC链】【都有机会】，首选龙头。
# PCB+光模块+光互连

推荐标的：PCB标的（联系宇舟），ASIC（Marvell，联系皓怡/文富），光互连/光模块（博通/Marvell）

From 华泰电子"
化工当前观点：,08:47,"煤化工,基础化工,新材料",特变电工,¥12.17,宝丰能源,¥16.01,东华科技,¥9.15,新疆煤化工因要素成本低和国家战略支持成为投资热点，基础化工关注供给约束行业如制冷剂、民爆、磷矿，新材料领域看好精细化工公司成长。,新疆煤化工受益于低要素成本和政策支持，基础化工行业供给约束改善，新材料领域精细化工公司成长潜力大。,新疆煤化工项目Q3Q4启动招标金额近5000亿，基础化工和新材料领域公司有望受益于行业趋势和政策支持。,"化工当前观点：
1、中长期策略的视角：旧的范式已经失效，我们认为沿着老路的化工已经难有成长空间，需要寻求新的路径来探索潜在的成长空间。对标美日欧过去20年的轨迹可以略窥一二，依然是向上游寻找更低的要素成本、向海外寻求更大的市场、向新材料寻求更大的技术红利、以及从输出商品向输出knowhow和无形资产转型。
2、新疆煤化工依然值得重点关注。虽然市场担心审批进度，但是就跟踪的情况来看，今年Q3Q4启动招标的项目金额就已经接近5000亿（新疆+陕西）。新疆作为要素洼地，产业资本流向新疆的趋势显然是加速的，尤其看好是煤制气这类既符合企业利益、又符合国家战略的产品。建议关注：特变电工、宝丰能源、东华科技、广东宏大。
3、基础化工方面，周期的反转只能等待，当下依然看供给有约束，格局项目向好的行业，制冷剂、民爆、磷矿。建议关注：巨化股份、广东宏大、新洋丰。
4、新材料方面，化工有希望成长出一批精细化工公司，这是产业发展的必然。除了大家熟悉的白马成长之外，建议关注：康鹏科技、利安隆。"
大家好，欢迎关注建投制药组重磅深度，报告着重回答了市场关切的几个重要问题：,08:46,创新药,强生,¥13.88,阿斯利康,HK$0.06,艾伯维,,报告分析创新药估值处于历史中位，中国创新药全球竞争力突破，IO双抗、ADC、GLP1类资产表现突出。,中国创新药在全球竞争力突破，PS估值提升是必然；IO双抗引领全球创新，ADC从跟随到领先，GLP1类资产快速跟随有望超越。,创新药PS估值显著提升，中国创新药资产在全球市场竞争力增强，有望实现海外授权和销售驱动增长。,"大家好，欢迎关注建投制药组重磅深度，报告着重回答了市场关切的几个重要问题：

1、创新药涨了这么多，现在估值在什么水平？我们怎么看？

我们认为：# 创新药当前估值水平处于历史中位水平，# 但目前中国创新药处于全球竞争力突破时点，# PS估值显著提升是必然。

2、各个MNC有多少钱，到底需要什么资产？

# 本报告梳理了强生、阿斯利康、艾伯维、罗氏等不同MNC的BD思路及具备全球竞争力有望授权出海的创新药资产以及值得关注的程度和原因。

3、中国资产到底有多强竞争力？

我们认为：# 中国IO双抗引领全球创新，# 中国ADC从跟随到领先，# 中国GLP1类资产在快速跟随，也有望超越。

4、加速全球化背景下的选股思路是什么？（具体公司见报告）

1）已授权产品的海外研发进展；2）潜在管线BD预期；3）海外销售驱动。"
# 冲锋：稳定币-RWA,08:46,数字资产与区块链技术,朗新,¥21.95,协鑫能科,¥13.80,鸿博,¥17.28,离岸人民币稳定币信息透露和比特币价格上涨，推动数字资产牛市，重点关注蚂蚁RWA平台和算力RWA相关公司。,官方试探离岸人民币稳定币信息，比特币价格突破11万美金，数字资产市场迎来新一轮牛市，相关技术和平台公司受益。,短期稳定币调整结束，7月份产业加速发展，预计将有更多利好政策出台，推动相关公司股价上涨。,"# 冲锋：稳定币-RWA

【2个非常重磅催化】
1、路透今日收盘后透露离岸人民币稳定币的信息，基本上可以认为是官方在对外试探口风。我们认为香港推稳定币后必然会推rmb稳定币，在正式发行前放风出来基本可以判断监管层在讨论这一方案！

2、比特币重新占上11万美金，很可能拉动新一轮数字资产牛市。（美国上市公司持有比特币二季度环比增长18%）

短期稳定币的调整已结束，随着7月份产业从0到1继续加速，越来越多的重磅利好将接踵而至！现在就是加码之时！

再次强调要聚焦核心，产业不断得到验证是持股和加码的底气！

【标的】
蚂蚁RWA平台【朗新，协鑫能科】
算力RWA【鸿博，奥瑞德，有方，盈峰】
中军及牌照【四方，京北方、南华期货】

（华西计算机 刘泽晶）"
[红包]道氏技术（300409）更新推荐：扩产显著提升盈利弹性，固态材料进展持续加速,01:26,固态电池,道氏技术,¥15.63,,,,,道氏技术扩产阴极铜和钴资源项目，预计增厚净利润2.7亿元，同时推进固态电池关键材料产业化。,公司通过扩产增强战略资源板块生产能力，控制成本提升市场份额；前瞻布局固态电池材料，送样头部企业，推动产业化。,预计25-26年归母净利润达5.38/7.32亿元，同比+188%/36%，PE分别为23倍/17倍，扩产项目有望26Q4投产带动盈利超预期。,"[红包]道氏技术（300409）更新推荐：扩产显著提升盈利弹性，固态材料进展持续加速

[太阳]事件：公司为增强刚果铜和钴资源的竞争力，拟投资建设年产30kt阴极铜湿法冶炼厂项目，投资总金额不超过1.65亿美元（折合人民币11.83亿元，自有资金或自筹，公司账上现金27亿元元），预计年产30kt阴极铜、2710t钴中间品湿法冶炼厂，项目周期18个月。

[太阳]#扩产显著增厚盈利;提升全球市场份额
本次扩张增强公司战略资源板块的生产能力，借助湿法冶炼工艺技术优势和当地资源禀赋，实现原材料采购及加工成本的有效控制，提升规模化效应，提升全球市场份额。按照单吨盈利9000元计算，3万吨阴极铜对净利润的增厚约2.7亿元。

[太阳]#打造固态全材料方案;关注头部客户送样进展
在单壁碳纳米管、硅碳负极、高镍三元前驱体等材料基础上，公司前瞻布局氧化物和硫化物（已经送样B等头部企业）、富锂锰基前驱体、锂金属负极（已经送样领先电池厂商），全力推动固态电池关键材料大规模产业化，后续头部公司固态材料进展有望超预期。

[太阳]#业绩反转高增;建议关注低估值固态标的
我们预计25-26年归母净利润达5.38/7.32E亿元，同比+188%/36%，对应PE分别为23倍/17倍，本次扩产计划实际建设周期13-14个月，有望26Q4投产带动26年盈利超预期，公司固态材料体系进展超预期有望提振估值，建议重点关注，欢迎领导对接交流！"
【广发电新】宁德时代展示全球性固态电池技术优势，宁德时代产业链率先重估,08:46,固态电池,宁德时代,¥265.80,天赐材料,¥18.60,华盛锂电,¥36.20,宁德时代展示全球性固态电池技术优势，重点开发液相法有望降本一半以上，天赐材料、华盛锂电因掌握液态提纯能力被重点培育。三孚新科临近A客户验证尾声，解决硅碳负极膨胀问题。,宁德时代与牛津大学合作展现全球产学研协同优势，液相法开发有望显著降低成本。天赐材料、华盛锂电因技术优势被重点培育。三孚新科技术临近验证，解决关键材料问题。,宁德时代固态电池技术合作预计年底完成工信部验收，液相法开发有望降本一半以上。三孚新科负极集流体方案临近验证，解决掺硅膨胀问题。,"【广发电新】宁德时代展示全球性固态电池技术优势，宁德时代产业链率先重估

市场预期宁德时代公示固态电池技术合作，系与牛津大学Peter G. Bruce签署技术合作（全球固态电池学术前五），展现全球产学研协同优势，完成年底工信部验收项目，相比部分厂商验收有所延期，# 宁德时代再次展现全球性强势创新优势。

围绕宁德时代创新优势，材料方案近期进一步明确，早期燃爆法反馈成本高、工艺难度难以规模化，固相法纯度难以达标，CVD法无意愿推进，# 将重点开发液相法有希望降本一半以上，而掌握液态提纯能力企业当前仅有【天赐材料】【华盛锂电】，因此重点培育硫化锂厂商，配方及材料体系成熟将打通电解质一体化。

硅碳负极延续原供应商天目先导、兰溪致德，负极集流体正在积极探索，保守方案雾化或多孔铜箔【德福科技】，正在开发4.5μm超高强度匹配，中性方案借鉴原先发布会凝聚态电池配套的泡沫铜方案改进为3D铜箔，唯一方案提供方【三孚新科】临近A客户验证尾声，一劳永逸解决掺硅30%到100%的膨胀问题，激进方案不锈钢镍合金方案参照【远航精密】等，# 在硫化锂、负极材料方案日益明朗后负极集流体将是下一阶段材料设计最大悬念。"
【中金军工】卫星互联网：拐点清晰，底部坚定看好,01:26,卫星互联网,中国卫星,¥28.26,臻镭科技,¥45.84,铖昌科技,¥39.23,卫星互联网行业迎来加速发展拐点，重点关注卫星制造、火箭发射及地面应用领域的相关公司。,一代增强建设方案资金到位，技术方案稳定，二代系统关键技术验证成功，预计将提前核准，组网发射问题已解决，预计密集组网。,预计从本月下旬开始至年底，将以月均至少1次的频次密集组网，二代系统立项核准时间有望从26年上半年提前到今年年底。,"【中金军工】卫星互联网：拐点清晰，底部坚定看好

部分投资者对产业变化仍有疑虑：认为一代增强资金未实际到位、担心招标推迟、传言技术方案调整。综合多方面变化，我们认为行业已经迎来加速发展的拐点，起步阶段应该坚定对板块的信心：

1）今年二季度，一代增强建设方案已通过主管部门核准。经多方验证，系统建设所需的资金已经到位，后续将启动组网星招标，尽快推动研制、组网。

2）一代系统已发射34颗组网星，目前不存在影响后续发射的技术问题。一代增强系统技术方案将基本继承一代系统，不存在技术方案的调整，单星造价预计也和一代系统平均造价基本相当。

3）二代系统已完成4颗试验星发射，关键技术已通过在轨验证，目前正在推进二代系统立项核准工作。乐观情况下，核准时间有望从原本预期的26年上半年，提前到今年年底。

4）近期XW集团将启动一代系统地面应用终端招标，涉及手持、车载、机载等多种类型，应用院、应用公司等主体正全力推动典型应用落地和重点客户保障。

5）影响组网发射的火箭、卫星等问题已解决，我们估计正常情况下，从本月下旬开始至年底，将以月均至少1次的频次密集组网。

——————————

🔥建议关注：
（1）卫星制造：#中国卫星、臻镭科技、铖昌科技、陕西华达、西测测试
（2）火箭发射：#高华科技、斯瑞新材、航天动力、泰胜风能（风光组覆盖）
（3）地面应用：#中国卫通、海格通信、国博电子

❗风险提示：卫星发射和市场推广进度不及预期

欢迎联系交流：刘中玉/刘婧/李舜尧"
